Project Name,Package Name,Type Name,Method Name,Code Smell
jEdit,installer,CBZip2InputStream,readInt,Magic Number
jEdit,installer,CBZip2InputStream,readInt,Magic Number
jEdit,installer,CBZip2InputStream,readInt,Magic Number
jEdit,installer,CBZip2InputStream,readInt,Magic Number
jEdit,installer,CBZip2InputStream,readInt,Magic Number
jEdit,installer,CBZip2InputStream,bsR,Magic Number
jEdit,installer,CBZip2InputStream,bsR,Magic Number
jEdit,installer,CBZip2InputStream,bsR,Magic Number
jEdit,installer,CBZip2InputStream,endBlock,Magic Number
jEdit,installer,CBZip2InputStream,hbCreateDecodeTables,Complex Method
jEdit,installer,CBZip2InputStream,hbCreateDecodeTables,Long Parameter List
jEdit,installer,CBZip2InputStream,initBlock,Complex Conditional
jEdit,installer,CBZip2InputStream,initBlock,Complex Conditional
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initBlock,Magic Number
jEdit,installer,CBZip2InputStream,initialize,Complex Conditional
jEdit,installer,CBZip2InputStream,makeMaps,Magic Number
jEdit,installer,CBZip2InputStream,recvDecodingTables,Complex Method
jEdit,installer,CBZip2InputStream,recvDecodingTables,Magic Number
jEdit,installer,CBZip2InputStream,recvDecodingTables,Magic Number
jEdit,installer,CBZip2InputStream,recvDecodingTables,Magic Number
jEdit,installer,CBZip2InputStream,recvDecodingTables,Magic Number
jEdit,installer,CBZip2InputStream,recvDecodingTables,Magic Number
jEdit,installer,CBZip2InputStream,buildInUseTable,Complex Method
jEdit,installer,CBZip2InputStream,buildInUseTable,Magic Number
jEdit,installer,CBZip2InputStream,buildInUseTable,Magic Number
jEdit,installer,CBZip2InputStream,buildInUseTable,Magic Number
jEdit,installer,CBZip2InputStream,buildInUseTable,Magic Number
jEdit,installer,CBZip2InputStream,buildInUseTable,Magic Number
jEdit,installer,CBZip2InputStream,buildInUseTable,Magic Number
jEdit,installer,CBZip2OutputStream,CBZip2OutputStream,Magic Number
jEdit,installer,CBZip2OutputStream,CBZip2OutputStream,Magic Number
jEdit,installer,CBZip2OutputStream,CBZip2OutputStream,Magic Number
jEdit,installer,CBZip2OutputStream,CBZip2OutputStream,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Complex Method
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Long Method
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,hbMakeCodeLengths,Magic Number
jEdit,installer,CBZip2OutputStream,write,Magic Number
jEdit,installer,CBZip2OutputStream,write,Magic Number
jEdit,installer,CBZip2OutputStream,write,Magic Number
jEdit,installer,CBZip2OutputStream,allocateCompressStructures,Complex Conditional
jEdit,installer,CBZip2OutputStream,allocateCompressStructures,Magic Number
jEdit,installer,CBZip2OutputStream,allocateCompressStructures,Magic Number
jEdit,installer,CBZip2OutputStream,bsFinishedWithStream,Magic Number
jEdit,installer,CBZip2OutputStream,bsFinishedWithStream,Magic Number
jEdit,installer,CBZip2OutputStream,bsFinishedWithStream,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutUChar,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsPutint,Magic Number
jEdit,installer,CBZip2OutputStream,bsW,Magic Number
jEdit,installer,CBZip2OutputStream,bsW,Magic Number
jEdit,installer,CBZip2OutputStream,bsW,Magic Number
jEdit,installer,CBZip2OutputStream,bsW,Magic Number
jEdit,installer,CBZip2OutputStream,bsW,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endBlock,Magic Number
jEdit,installer,CBZip2OutputStream,endCompression,Magic Number
jEdit,installer,CBZip2OutputStream,endCompression,Magic Number
jEdit,installer,CBZip2OutputStream,endCompression,Magic Number
jEdit,installer,CBZip2OutputStream,endCompression,Magic Number
jEdit,installer,CBZip2OutputStream,endCompression,Magic Number
jEdit,installer,CBZip2OutputStream,endCompression,Magic Number
jEdit,installer,CBZip2OutputStream,fullGtU,Complex Method
jEdit,installer,CBZip2OutputStream,fullGtU,Long Method
jEdit,installer,CBZip2OutputStream,fullGtU,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Complex Method
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,generateMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,hbAssignCodes,Long Parameter List
jEdit,installer,CBZip2OutputStream,initBlock,Magic Number
jEdit,installer,CBZip2OutputStream,initBlock,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Complex Method
jEdit,installer,CBZip2OutputStream,mainSort,Long Method
jEdit,installer,CBZip2OutputStream,mainSort,Long Statement
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,mainSort,Magic Number
jEdit,installer,CBZip2OutputStream,makeMaps,Magic Number
jEdit,installer,CBZip2OutputStream,moveToFrontCodeAndSend,Magic Number
jEdit,installer,CBZip2OutputStream,qSort3,Complex Method
jEdit,installer,CBZip2OutputStream,qSort3,Long Method
jEdit,installer,CBZip2OutputStream,randomiseBlock,Magic Number
jEdit,installer,CBZip2OutputStream,randomiseBlock,Magic Number
jEdit,installer,CBZip2OutputStream,randomiseBlock,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Complex Conditional
jEdit,installer,CBZip2OutputStream,sendMTFValues,Complex Method
jEdit,installer,CBZip2OutputStream,sendMTFValues,Long Method
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,sendMTFValues,Magic Number
jEdit,installer,CBZip2OutputStream,simpleSort,Complex Method
jEdit,installer,CBZip2OutputStream,simpleSort,Magic Number
jEdit,installer,CBZip2OutputStream,writeRun,Magic Number
jEdit,installer,CBZip2OutputStream,writeRun,Magic Number
jEdit,installer,CBZip2OutputStream,writeRun,Magic Number
jEdit,installer,CBZip2OutputStream,writeRun,Magic Number
jEdit,installer,CBZip2OutputStream,writeRun,Missing default
jEdit,installer,ConsoleInstall,ConsoleInstall,Abstract Function Call From Constructor
jEdit,installer,ConsoleInstall,ConsoleInstall,Complex Conditional
jEdit,installer,ConsoleInstall,ConsoleInstall,Complex Method
jEdit,installer,ConsoleInstall,ConsoleInstall,Long Statement
jEdit,installer,CRC,initialiseCRC,Magic Number
jEdit,installer,CRC,updateCRC,Magic Number
jEdit,installer,CRC,updateCRC,Magic Number
jEdit,installer,CRC,updateCRC,Magic Number
jEdit,installer,Install,main,Long Statement
jEdit,installer,Install,main,Long Statement
jEdit,installer,Install,main,Magic Number
jEdit,installer,Install,Install,Magic Number
jEdit,installer,InstallThread,InstallThread,Long Parameter List
jEdit,installer,InstallThread,run,Long Statement
jEdit,installer,InstallThread,run,Magic Number
jEdit,installer,InstallThread,installComponent,Complex Method
jEdit,installer,NonInteractiveInstall,NonInteractiveInstall,Complex Method
jEdit,installer,NonInteractiveInstall,NonInteractiveInstall,Magic Number
jEdit,installer,OperatingSystem,perform,Long Statement
jEdit,installer,OperatingSystem,exec,Empty catch clause
jEdit,installer,OperatingSystem,perform,Empty catch clause
jEdit,installer,OperatingSystem,perform,Empty catch clause
jEdit,installer,Unix,perform,Long Statement
jEdit,installer,Unix,exec,Empty catch clause
jEdit,installer,ScriptOSTask,perform,Long Statement
jEdit,installer,Windows,perform,Empty catch clause
jEdit,installer,Windows,perform,Empty catch clause
jEdit,installer,JEditLauncherOSTask,perform,Empty catch clause
jEdit,installer,JEditLauncherOSTask,perform,Empty catch clause
jEdit,installer,ServerKiller,quitjEditServer,Empty catch clause
jEdit,installer,ServerKiller,quitjEditServer,Empty catch clause
jEdit,installer,ServerKiller,quitjEditServer,Empty catch clause
jEdit,installer,SwingInstall,SwingInstall,Long Statement
jEdit,installer,SwingInstall,SwingInstall,Magic Number
jEdit,installer,SwingInstall,SwingInstall,Magic Number
jEdit,installer,SwingInstall,SwingInstall,Magic Number
jEdit,installer,SwingInstall,pageChanged,Complex Method
jEdit,installer,SwingInstall,pageChanged,Magic Number
jEdit,installer,SwingInstall,pageChanged,Magic Number
jEdit,installer,SwingInstall,pageChanged,Magic Number
jEdit,installer,SwingInstall,pageChanged,Magic Number
jEdit,installer,SwingInstall,preferredLayoutSize,Magic Number
jEdit,installer,SwingInstall,preferredLayoutSize,Magic Number
jEdit,installer,SwingInstall,layoutContainer,Long Statement
jEdit,installer,SwingInstall,layoutContainer,Long Statement
jEdit,installer,SwingInstall,layoutContainer,Magic Number
jEdit,installer,SwingInstall,layoutContainer,Magic Number
jEdit,installer,SwingInstall,layoutContainer,Magic Number
jEdit,installer,SwingInstall,layoutContainer,Magic Number
jEdit,installer,SwingInstall,TextPanel,Magic Number
jEdit,installer,SwingInstall,TextPanel,Magic Number
jEdit,installer,SwingInstall,verify,Complex Conditional
jEdit,installer,SwingInstall,ChooseDirectory,Abstract Function Call From Constructor
jEdit,installer,SwingInstall,ChooseDirectory,Long Statement
jEdit,installer,SwingInstall,addField,Magic Number
jEdit,installer,SwingInstall,addField,Magic Number
jEdit,installer,SwingInstall,addField,Magic Number
jEdit,installer,SwingInstall,addField,Magic Number
jEdit,installer,SwingInstall,addField,Magic Number
jEdit,installer,SwingInstall,addField,Magic Number
jEdit,installer,SwingInstall,createCompPanel,Long Statement
jEdit,installer,SwingInstall,advance,Empty catch clause
jEdit,installer,WizardLayout,preferredLayoutSize,Magic Number
jEdit,installer,WizardLayout,preferredLayoutSize,Magic Number
jEdit,installer,WizardLayout,layoutContainer,Long Statement
jEdit,installer,WizardLayout,layoutContainer,Long Statement
jEdit,installer,WizardLayout,layoutContainer,Magic Number
jEdit,installer,WizardLayout,layoutContainer,Magic Number
jEdit,installer,WizardLayout,layoutContainer,Magic Number
jEdit,installer,WizardLayout,layoutContainer,Magic Number
jEdit,installer,TextPanel,TextPanel,Magic Number
